T,query_strategy,simulation,prior_included,prior_excluded,n_queries,n_instances
87,lc,37,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
88,lc,38,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
89,lc,39,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
90,lc,40,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
91,lc,41,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
92,lc,42,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
93,lc,43,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
94,lc,44,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
95,lc,45,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
96,lc,46,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
97,lc,47,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
98,lc,48,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
99,lc,49,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
